FID,ID,kabko,lat,long,tanggal_ms,tanggal_iso,hari,populasi,otg,odp_aktif,pdp_aktif,pos_aktif,pos_rs,pos_meninggal,pos_sembuh,pos_total
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1591401600000,2020-06-06,78,1268504,495,16,27,76,69,4,13,93
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1591488000000,2020-06-07,79,1268504,500,14,30,75,68,5,13,93
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1591574400000,2020-06-08,80,1268504,572,11,34,76,68,5,13,94
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1591660800000,2020-06-09,81,1268504,604,12,38,74,69,5,15,94
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1591747200000,2020-06-10,82,1268504,615,12,37,82,77,6,15,103
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1591833600000,2020-06-11,83,1268504,649,14,41,90,83,9,15,114
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1591920000000,2020-06-12,84,1268504,670,28,32,100,94,11,15,126
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1592006400000,2020-06-13,85,778789,180,30,1,12,9,1,7,20
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1592092800000,2020-06-14,86,778789,180,30,1,12,9,1,7,20
5,5,KAB. BONDOWOSO,-7.941717966740334,113.94578998632433,1592179200000,2020-06-15,87,778789,180,33,1,12,9,1,7,20
