FID,ID,kabko,lat,long,tanggal_ms,tanggal_iso,hari,populasi,otg,odp_aktif,pdp_aktif,pos_aktif,pos_rs,pos_meninggal,pos_sembuh,pos_total
21,21,KAB. MAGETAN,-7.663073134455289,111.35567933038956,1585094400000,2020-03-25,5,629020,0,34,8,8,0,0,0,8
6,6,KAB. GRESIK,-6.86732310199931,112.58723103428937,1589068800000,2020-05-10,51,1326420,195,234,49,21,21,6,10,37
25,25,KAB. NGAWI,-7.438304681660863,111.3427864312792,1585094400000,2020-03-25,5,830134,0,37,5,0,0,0,0,0
30,30,KAB. PROBOLINGGO,-7.868089582245424,113.31951875118548,1584662400000,2020-03-20,0,1174890,0,0,0,0,0,0,0,0
32,32,KAB. SAMPANG,-7.0521583726368195,113.25464034634773,1584662400000,2020-03-20,0,989001,0,0,0,0,0,0,0,0
9,9,KAB. KEDIRI,-7.830719424953522,112.0877702683505,1589068800000,2020-05-10,51,1580092,745,275,88,24,10,4,2,30
7,7,KAB. JEMBER,-8.237433005193287,113.6603278578234,1586476800000,2020-04-10,21,2459890,110,316,8,1,1,0,1,2
27,27,KAB. PAMEKASAN,-7.066837926822245,113.50218375760778,1584921600000,2020-03-23,3,888214,0,0,0,0,0,0,0,0
33,33,KAB. SIDOARJO,-7.4512047218062865,112.69586321399267,1584662400000,2020-03-20,0,2282215,0,0,0,0,0,0,0,0
8,8,KAB. JOMBANG,-7.5471659452833535,112.2627344580802,1594857600000,2020-07-16,118,1268504,1631,17,42,254,117,30,122,406
34,34,KAB. SITUBONDO,-7.801720977198466,114.05094649012064,1584662400000,2020-03-20,0,685776,0,0,0,0,0,0,0,0
24,24,KAB. NGANJUK,-7.597780502207114,111.93775681398986,1585094400000,2020-03-25,5,1057011,0,8,2,0,0,0,0,0
35,35,KAB. SUMENEP,-6.965092664272632,114.39756286532563,1584748800000,2020-03-21,1,1092387,0,0,0,0,0,0,0,0
4,4,KAB. BOJONEGORO,-7.255098345234747,111.80605658970485,1592179200000,2020-06-15,87,1252020,352,11,1,63,36,12,16,91
28,28,KAB. PASURUAN,-7.744863580585447,112.8293823218661,1584748800000,2020-03-21,1,1637682,0,0,0,0,0,0,0,0
28,28,KAB. PASURUAN,-7.744863580585447,112.8293823218661,1584835200000,2020-03-22,2,1637682,0,0,0,0,0,0,0,0
23,23,KAB. MOJOKERTO,-7.550783444414615,112.48330294757099,1585180800000,2020-03-26,6,1126392,0,102,3,0,0,0,0,0
3,3,KAB. BLITAR,-8.132799223604957,112.23645534893667,1594684800000,2020-07-14,116,1163789,623,37,20,21,21,8,24,53
26,26,KAB. PACITAN,-8.126544974660256,111.1770213777301,1585008000000,2020-03-24,4,555984,0,89,1,0,0,0,0,0
18,18,KAB. LAMONGAN,-7.133763623538353,112.29995716806015,1586217600000,2020-04-07,18,1189380,240,141,97,13,9,0,0,13
22,22,KAB. MALANG,-8.12029261194341,112.63871983850048,1585094400000,2020-03-25,5,2619975,0,30,7,3,0,1,0,4
20,20,KAB. MADIUN,-7.625293177261655,111.64444912366632,1585180800000,2020-03-26,6,683784,0,21,2,0,0,0,0,0
19,19,KAB. LUMAJANG,-8.125770943561417,113.13810760043462,1585094400000,2020-03-25,5,1044718,0,42,3,0,0,0,0,0
2,2,KAB. BANYUWANGI,-8.365847665700583,114.20611422681587,1588723200000,2020-05-06,47,1617814,139,46,2,2,1,1,1,4
29,29,KAB. PONOROGO,-7.932127182288878,111.49802415310549,1584748800000,2020-03-21,1,871825,0,0,0,0,0,0,0,0
23,23,KAB. MOJOKERTO,-7.550783444414615,112.48330294757099,1585267200000,2020-03-27,7,1126392,0,121,2,0,0,0,0,0
